test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
217,9.033143107989465,8.411764705882353,9.411764705882353,1,134,0.0
251,0.3699469544539967,0.09090909090909088,0.909090909090909,1,994,0.0
328,6.386084284460053,5.764705882352941,6.764705882352941,1,134,0.0
347,0.2308443078802367,0.11903715745469277,0.9419999185455863,2,459,0.0
363,1.7905484058845662,1.4578555303671246,2.3395934731971644,2,664,0.0
366,7.657232866140803,7.426798214642791,8.017218803793828,2,116,0.0
408,1.2647688356164384,0.7812499999999999,1.7812499999999998,1,146,0.0
417,2.188234149168225,1.612062620664304,2.585905707172442,2,667,0.0
441,0.3259035829490103,0.2086939692848223,1.0423425760244984,2,265,0.0
464,0.40455763339677514,0.17110722719925145,0.7421099536755984,2,978,0.0
468,0.4075461600214076,0.054054054054054015,1.0540540540540537,1,101,0.0
475,0.4181852612565369,0.23809523809523808,1.2380952380952381,1,467,0.0
477,0.9002525252525251,0.20833333333333337,1.208333333333333,1,99,0.0
603,3.6286467747147313,3.454944102953169,3.7514588822760113,4,5,0.0
611,7.739025460930641,7.117647058823532,8.11764705882353,1,134,0.0
620,2.048699679055645,1.5104529616724742,2.510452961672474,1,1369,0.0
625,0.32924243677319914,0.162667141581434,1.067865052341385,2,459,0.0
628,1.2335858585858586,0.5416666666666667,1.5416666666666667,1,99,0.0
640,5.683525714322345,5.126752749060561,6.036542367117126,2,8,0.0
641,1.491319819964651,1.3007823895341648,1.8937846455251952,2,40,0.0
645,1.314379121564356,0.7761324041811851,1.776132404181185,1,1369,0.0
646,7.7582897464986225,7.202158964505021,8.10993796215483,2,8,0.0
651,7.768437225636523,7.147058823529414,8.147058823529411,1,134,0.0
663,0.7043664196353289,0.2212506448585536,1.0158162990631145,2,62,0.0
689,6.559154724039644,6.069111051409828,6.853242271131431,2,132,0.0
695,1.557550811827025,1.3658852287438208,1.9601608684730358,2,40,0.0
701,10.651159987080616,10.254538290706,11.043348928452616,2,9,0.0
719,0.39864640594753165,0.27859137846239396,1.049123835979787,2,265,0.0
725,0.21173318656664963,0.07636934779545412,0.5414139470249333,2,978,0.0
726,5.87718817494525,5.637117867897479,6.168184622851558,2,116,0.0
732,3.476204871790044,3.0556667894364486,3.8249314935529473,2,372,0.0
746,1.0669191919191914,0.37499999999999994,1.375,1,99,0.0
796,1.4387418681606776,1.0314156207995626,1.7302649045619292,2,104,0.0
